ID,Nom,Effet,Rareté,Set
OP02-040_p1,"Brook","[On Play] Play up to 1 {FILM} or {Straw Hat Crew} typeCharacter card with a cost of 3 or less from your hand.",R,"-Uta-[ST-11]"
OP02-041,"Monkey.D.Luffy","[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)<br>[On Play] Play up to 1 {FILM} or {Straw Hat Crew} type Character card with a cost of 4 or less from your hand.",R,"-PARAMOUNT WAR- [OP02]"
OP02-041_p1,"Monkey.D.Luffy","[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)<br>[On Play] Play up to 1 {FILM} or {Straw Hat Crew} type Character card with a cost of 4 or less from your hand.",R,"-PARAMOUNT WAR- [OP02]"
OP02-041_p2,"Monkey.D.Luffy","[Blocker] (After your opponent declares an attack, you mayrest this card to make it the new target of the attack.)<br>[OnPlay] Play up to 1 {FILM} or {Straw Hat Crew} type Charactercard with a cost of 4 or less from your hand.",R,"-Uta-[ST-11]"
OP02-042,"Yamato","Also treat this card's name as [Kouzuki Oden] according to the rules.<br>[On Play] Rest up to 1 of your opponent's Characters with a cost of 6 or less.",R,"-PARAMOUNT WAR- [OP02]"
OP02-043,"Roronoa Zoro","-",C,"-PARAMOUNT WAR- [OP02]"
OP02-043_p1,"Roronoa Zoro","-",C,"-Uta-[ST-11]"
OP02-044,"Wanda","[On Play] Play up to 1 {Minks} type Character card other than [Wanda] with a cost of 3 or less from your hand.",C,"-PARAMOUNT WAR- [OP02]"
OP02-045,"Three Sword Style Oni Giri","[Counter] Up to 1 of your Leader or Character cards gains +6000 power during this battle. Then, play up to 1 Character card with a cost of 3 or less and no base effect from your hand.<br>",C,"-PARAMOUNT WAR- [OP02]"
OP02-045_p1,"Three Sword Style Oni Giri","[Counter] Up to 1 of your Leader or Character cards gains+6000 power during this battle. Then, play up to 1 Charactercard with a cost of 3 or less and no base effect from yourhand.<br>",C,"-Uta-[ST-11]"
OP02-046,"Diable Jambe Venaison Shoot","[Main] K.O. up to 1 of your opponent's rested Characters with a cost of 4 or less.<br>",UC,"-PARAMOUNT WAR- [OP02]"
OP02-047,"Paradise Totsuka","[Main] Rest up to 1 of your opponent's Characters with a cost of 4 or less.",R,"-PARAMOUNT WAR- [OP02]"
OP02-048,"Land of Wano","[Activate: Main] You may trash 1 {Land of Wano} type card from your hand and rest this Stage: Set up to 1 of your DON!! cards as active.",C,"-PARAMOUNT WAR- [OP02]"
OP02-049,"Emporio.Ivankov","[End of Your Turn] If you have 0 cards in your hand, draw 2 cards.",L,"-PARAMOUNT WAR- [OP02]"
OP02-049_p1,"Emporio.Ivankov","[End of Your Turn] If you have 0 cards in your hand, draw 2 cards.",L,"-PARAMOUNT WAR- [OP02]"
OP02-050,"Inazuma","If you have 1 or less cards in your hand, this Character gains +2000 power.<br>[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",R,"-PARAMOUNT WAR- [OP02]"
OP02-051,"Emporio.Ivankov","[On Play] Draw card(s) so that you have 3 cards in your hand and then play up to 1 blue {Impel Down} type Character card with a cost of 6 or less from your hand.",SR,"-PARAMOUNT WAR- [OP02]"
OP02-051_p1,"Emporio.Ivankov","[On Play] Draw card(s) so that you have 3 cards in your hand and then play up to 1 blue {Impel Down} type Character card with a cost of 6 or less from your hand.",SR,"-PARAMOUNT WAR- [OP02]"
OP02-052,"Cabaji","[On Play] If you have [Mohji], draw 2 cards and trash 1 card from your hand.",C,"-PARAMOUNT WAR- [OP02]"
OP02-053,"Crocodile","-",C,"-PARAMOUNT WAR- [OP02]"
OP02-054,"Gecko Moria","-",C,"-PARAMOUNT WAR- [OP02]"
OP02-054_p1,"Gecko Moria","-",C,"-Blue Donquixote Doflamingo- [ST-17]"
OP02-055,"Dracule Mihawk","-",C,"-PARAMOUNT WAR- [OP02]"
OP02-056,"Donquixote Doflamingo","[On Play] Look at 3 cards from the top of your deck and place them at the top or bottom of the deck in any order.<br>[DON!! x1] [When Attacking] You may trash 1 card from your hand: Place up to 1 of your opponent's Characters with a cost of 1 or less at the bottom of the owner's deck.",UC,"-PARAMOUNT WAR- [OP02]"
OP02-057,"Bartholomew Kuma","[On Play] Look at 2 cards from the top of your deck; reveal up to 1 {The Seven Warlords of the Sea} type card and add it to your hand. Then, place the rest at the top or bottom of the deck in any order.",UC,"-PARAMOUNT WAR- [OP02]"
OP02-057_p1,"Bartholomew Kuma","[On Play] Look at 2 cards from the top of your deck; reveal up to 1 {The Seven Warlords of the Sea} type card and add it to your hand. Then, place the rest at the top or bottom of the deck in any order.",UC,"-Blue Donquixote Doflamingo- [ST-17]"
OP02-058,"Buggy","[On Play] Look at 5 cards from the top of your deck; reveal up to 1 blue {Impel Down} type card other than [Buggy] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",R,"-PARAMOUNT WAR- [OP02]"
OP02-058_p1,"Buggy","[On Play] Look at 5 cards from the top of your deck; reveal up to 1 blue {Impel Down} type card other than [Buggy] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",R,"-PARAMOUNT WAR- [OP02]"
OP02-059,"Boa Hancock","[When Attacking] Draw 1 card and trash 1 card from your hand. Then, trash up to 3 cards from your hand.",UC,"-PARAMOUNT WAR- [OP02]"
OP02-059_p1,"Boa Hancock","[When Attacking] Draw 1 card and trash 1 card from your hand. Then, trash up to 3 cards from your hand.",UC,"-PARAMOUNT WAR- [OP02]"
OP02-059_p2,"Boa Hancock","[When Attacking] Draw 1 card and trash 1 card from yourhand. Then, trash up to 3 cards from your hand.",UC,"GIFT COLLECTION 2023 [GC-01]"
OP02-060,"Mohji","-",C,"-PARAMOUNT WAR- [OP02]"
OP02-061,"Morley","[When Attacking] If you have 1 or less cards in your hand, your opponent cannot activate the [Blocker] of any Character with a cost of 5 or less during this battle.",UC,"-PARAMOUNT WAR- [OP02]"
OP02-062,"Monkey.D.Luffy","[On Play]/[When Attacking] You may trash 2 cards from your hand: Return up to 1 Character with a cost of 4 or less to the owner's hand. Then, this Character gains [Double Attack] during this turn.<br>(This card deals 2 damage.)",SR,"-PARAMOUNT WAR- [OP02]"
OP02-062_p1,"Monkey.D.Luffy","[On Play]/[When Attacking] You may trash 2 cards from your hand: Return up to 1 Character with a cost of 4 or less to the owner's hand. Then, this Character gains [Double Attack] during this turn.<br>(This card deals 2 damage.)",SR,"-PARAMOUNT WAR- [OP02]"
OP02-063,"Mr.1(Daz.Bonez)","[On Play] Add up to 1 blue Event card with a cost of 1 from your trash to your hand.",UC,"-PARAMOUNT WAR- [OP02]"
OP02-064,"Mr.2.Bon.Kurei(Bentham)","[DON!! x1] [When Attacking] You may trash 1 card from your hand: Place up to 1 Character with a cost of 2 or less at the bottom of the owner's deck. Then, at the end of this battle, place this Character at the bottom of the owner's deck.",R,"-PARAMOUNT WAR- [OP02]"
OP02-065,"Mr.3(Galdino)","[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)<br>[End of Your Turn] You may trash 1 card from your hand: Set this Character as active.",R,"-PARAMOUNT WAR- [OP02]"
OP02-066,"Impel Down All Stars","[Main] You may trash 2 cards from your hand: If your Leader has the {Impel Down} type, draw up to 2 cards.",C,"-PARAMOUNT WAR- [OP02]"
OP02-067,"Arabesque Brick Fist","[Main] Return up to 1 Character with a cost of 4 or less to the owner's hand.",UC,"-PARAMOUNT WAR- [OP02]"
OP02-068,"Gum-Gum Rain","[Counter] You may trash 1 card from your hand: Up to 1 of your Leader or Character cards gains +3000 power during this battle.",R,"-PARAMOUNT WAR- [OP02]"
OP02-069,"DEATH WINK","[Counter] Up to 1 of your Leader or Character cards gains +6000 power during this battle. Then, draw cards so that you have 2 cards in your hand.",C,"-PARAMOUNT WAR- [OP02]"
OP02-070,"New Kama Land","[Activate: Main] You may rest this Stage: If your Leader is [Emporio.Ivankov], draw 1 card and trash 1 card from your hand. Then, trash up to 3 cards from your hand.",C,"-PARAMOUNT WAR- [OP02]"
OP02-071,"Magellan","[Your Turn] [Once Per Turn] When a DON!! card on the field is returned to your DON!! deck, this Leader gains +1000 power during this turn.",L,"-PARAMOUNT WAR- [OP02]"
OP02-071_p1,"Magellan","[Your Turn] [Once Per Turn] When a DON!! card on the field is returned to your DON!! deck, this Leader gains +1000 power during this turn.",L,"-PARAMOUNT WAR- [OP02]"
OP02-072,"Zephyr","[When Attacking] DON!! −4 (You may return the specified number of DON!! cards from your field to your DON!! deck.): K.O. up to 1 of your opponent's Characters with a cost of 3 or less. Then, this Leader gains +1000 power during this turn.",L,"-PARAMOUNT WAR- [OP02]"
OP02-072_p1,"Zephyr","[When Attacking] DON!! −4 (You may return the specified number of DON!! cards from your field to your DON!! deck.): K.O. up to 1 of your opponent's Characters with a cost of 3 or less. Then, this Leader gains +1000 power during this turn.",L,"-PARAMOUNT WAR- [OP02]"
OP02-073,"Little Sadi","[On Play] Play up to 1 {Jailer Beast} type Character card from your hand.",R,"-PARAMOUNT WAR- [OP02]"
OP02-073_p1,"Little Sadi","[On Play] Play up to 1 {Jailer Beast} type Character card from your hand.",R,"-PARAMOUNT WAR- [OP02]"
OP02-074,"Saldeath","Your [Blugori] gains [Blocker].<br>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",C,"-PARAMOUNT WAR- [OP02]"
OP02-075,"Shiki","-",R,"-PARAMOUNT WAR- [OP02]"
OP02-076,"Shiryu","[On Play] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): K.O. up to 1 of your opponent's Characters with a cost of 1 or less.",R,"-PARAMOUNT WAR- [OP02]"
OP02-077,"Solitaire","-",C,"-PARAMOUNT WAR- [OP02]"
OP02-078,"Daifugo","[On Play] DON!! −2 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Play up to 1 {SMILE} type Character card other than [Daifugo] with a cost of 3 or less from your hand.",UC,"-PARAMOUNT WAR- [OP02]"
OP02-079,"Douglas Bullet","[On Play] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Rest up to 1 of your opponent's Characters with a cost of 4 or less.",UC,"-PARAMOUNT WAR- [OP02]"
OP02-080,"Dobon","-",C,"-PARAMOUNT WAR- [OP02]"
OP02-081,"Domino","[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",C,"-PARAMOUNT WAR- [OP02]"
OP02-082,"Byrnndi World","[Activate: Main] DON!! −8 (You may return the specified number of DON!! cards from your field to your DON!! deck.): This Character gains +792000 power during this turn.",UC,"-PARAMOUNT WAR- [OP02]"
OP02-083,"Hannyabal","[On Play] Look at 5 cards from the top of your deck; reveal up to 1 purple {Impel Down} type card other than [Hannyabal] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",R,"-PARAMOUNT WAR- [OP02]"
OP02-084,"Blugori","-",C,"-PARAMOUNT WAR- [OP02]"
OP02-085,"Magellan","[On Play] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Your opponent returns 1 DON!! card from their field to their DON!! deck.<br>[Opponent's Turn] When this Character is K.O.'d, your opponent returns 2 DON!! cards from their field to their DON!! deck.",SR,"-PARAMOUNT WAR- [OP02]"
OP02-085_p1,"Magellan","[On Play] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Your opponent returns 1 DON!! card from their field to their DON!! deck.<br>[Opponent's Turn] When this Character is K.O.'d, your opponent returns 2 DON!! cards from their field to their DON!! deck.",SR,"-PARAMOUNT WAR- [OP02]"
OP02-085_p2,"Magellan","[On Play] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Your opponent returns 1 DON!! card from their field to their DON!! deck.<br>[Opponent's Turn] When this Character is K.O.'d, your opponent returns 2 DON!! cards from their field to their DON!! deck.",SP CARD,"-KINGDOMS OF INTRIGUE- [OP04]"
OP02-086,"Minokoala","[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)<br>[On K.O.] If your Leader has the {Impel Down} type, add up to 1 DON!! card from your DON!! deck and rest it.",UC,"-PARAMOUNT WAR- [OP02]"
OP02-086_p1,"Minokoala","[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)<br>[On K.O.] If your Leader has the {Impel Down} type, add up to 1 DON!! card from your DON!! deck and rest it.",UC,"-PARAMOUNT WAR- [OP02]"
OP02-087,"Minotaur","[Double Attack] (This card deals 2 damage.)<br>[On K.O.] If your Leader has the {Impel Down} type, add up to 1 DON!! card from your DON!! deck and rest it.",UC,"-PARAMOUNT WAR- [OP02]"
OP02-088,"Sphinx","-",C,"-PARAMOUNT WAR- [OP02]"
OP02-089,"Judgment of Hell","[Counter] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Give up to a total of 2 of your opponent's Leader or Character cards −3000 power during this turn.",R,"-PARAMOUNT WAR- [OP02]"
OP02-089_p1,"Judgment of Hell","[Counter] DON!! −1 (You may return the specified number of
                    DON!! cards from your field to your DON!! deck.): Give up to
                    a total of 2 of your opponent's Leader or Character cards
                    −3000 power during this turn.",R,"-ONE PIECE CARD THE BEST- [PRB-01]"
OP02-089_p2,"Judgment of Hell","[Counter] DON!! −1 (You may return the specified number of
                    DON!! cards from your field to your DON!! deck.): Give up to
                    a total of 2 of your opponent's Leader or Character cards
                    −3000 power during this turn.",R,"-ONE PIECE CARD THE BEST- [PRB-01]"
OP02-089_p3,"Judgment of Hell","[Counter] DON!! −1 (You may return the specified number of
                    DON!! cards from your field to your DON!! deck.): Give up to
                    a total of 2 of your opponent's Leader or Character cards
                    −3000 power during this turn.",R,"-ONE PIECE CARD THE BEST- [PRB-01]"
OP02-089_p4,"Judgment of Hell","[Counter] DON!! −1 (You may return the specified number of
                    DON!! cards from your field to your DON!! deck.): Give up to
                    a total of 2 of your opponent's Leader or Character cards
                    −3000 power during this turn.",R,"-ONE PIECE CARD THE BEST- [PRB-01]"
OP02-090,"Hydra","[Main] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Give up to 1 of your opponent's Characters −3000 power during this turn.",UC,"-PARAMOUNT WAR- [OP02]"
OP02-091,"Venom Road","[Main] Add up to 1 DON!! card from your DON!! deck and set it as active.",C,"-PARAMOUNT WAR- [OP02]"
OP02-092,"Impel Down","[Activate: Main] You may trash 1 card from your hand and rest this Stage: Look at 3 cards from the top of your deck; reveal up to 1 {Impel Down} type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.",C,"-PARAMOUNT WAR- [OP02]"
OP02-093,"Smoker","[DON!! x1] [Activate: Main] [Once Per Turn] Give up to 1 of your opponent's Characters −1 cost during this turn. Then, if there is a Character with a cost of 0, this Leader gains +1000 power during this turn.",L,"-PARAMOUNT WAR- [OP02]"
OP02-093_p1,"Smoker","[DON!! x1] [Activate: Main] [Once Per Turn] Give up to 1 of your opponent's Characters −1 cost during this turn. Then, if there is a Character with a cost of 0, this Leader gains +1000 power during this turn.",L,"-PARAMOUNT WAR- [OP02]"
OP02-093_p2,"Smoker","[DON!! x1] [Activate: Main] [Once Per Turn] Give up to 1 of your opponent's Characters −1 cost during this turn. Then, if there is a Character with a cost of 0, this Leader gains +1000 power during this turn.",L,"-Black Smoker- [ST-19]"
OP02-094,"Isuka","[DON!! x1] [Once Per Turn] When this Character battles and K.O.'s your opponent's Character, set this Character as active.",UC,"-PARAMOUNT WAR- [OP02]"
OP02-095,"Onigumo","If there is a Character with a cost of 0, this Character gains [Banish].<br>(When this card deals damage, the target card is trashed without activating its Trigger.)",UC,"-PARAMOUNT WAR- [OP02]"
OP02-096,"Kuzan","[On Play] Draw 1 card.<br>[When Attacking] Give up to 1 of your opponent's Characters −4 cost during this turn.",SR,"-PARAMOUNT WAR- [OP02]"
OP02-096_p1,"Kuzan","[On Play] Draw 1 card.<br>[When Attacking] Give up to 1 of your opponent's Characters −4 cost during this turn.",SR,"-PARAMOUNT WAR- [OP02]"
OP02-096_p2,"Kuzan","[On Play] Draw 1 card.<br>[When Attacking] Give up to 1 of
                    your opponent's Characters −4 cost during this turn.",SR,"-ONE PIECE CARD THE BEST- [PRB-01]"
OP02-096_p3,"Kuzan","[On Play] Draw 1 card.<br>[When Attacking] Give up to 1 of
                    your opponent's Characters −4 cost during this turn.",SR,"-ONE PIECE CARD THE BEST- [PRB-01]"
OP02-097,"Komille","-",C,"-PARAMOUNT WAR- [OP02]"
OP02-098,"Koby","[On Play] You may trash 1 card from your hand: K.O. up to 1 of your opponent's Characters with a cost of 3 or less.",R,"-PARAMOUNT WAR- [OP02]"
OP02-098_p1,"Koby","[On Play] You may trash 1 card from your hand: K.O. up to 1 of your opponent's Characters with a cost of 3 or less.",R,"Included in Online Regional Participation Pack Vol.1"
OP02-098_p2,"Koby","[On Play] You may trash 1 card from your hand: K.O. up to 1 of your opponent's Characters with a cost of 3 or less.",R,"-Black Smoker- [ST-19]"
OP02-099,"Sakazuki","[On Play] You may trash 1 card from your hand: K.O. up to 1 of your opponent's Characters with a cost of 5 or less.",SR,"-PARAMOUNT WAR- [OP02]"
OP02-099_p1,"Sakazuki","[On Play] You may trash 1 card from your hand: K.O. up to 1 of your opponent's Characters with a cost of 5 or less.",SR,"-PARAMOUNT WAR- [OP02]"
OP02-099_p2,"Sakazuki","[On Play] You may trash 1 card from your hand: K.O. up to 1 of your opponent's Characters with a cost of 5 or less.",SP CARD,"-KINGDOMS OF INTRIGUE- [OP04]"
OP02-099_p3,"Sakazuki","[On Play] You may trash 1 card from your hand: K.O. up to 1
                    of your opponent's Characters with a cost of 5 or less.",SR,"-ONE PIECE CARD THE BEST- [PRB-01]"
OP02-099_p4,"Sakazuki","[On Play] You may trash 1 card from your hand: K.O. up to 1
                    of your opponent's Characters with a cost of 5 or less.",SR,"-ONE PIECE CARD THE BEST- [PRB-01]"
OP02-100,"Jango","If you have [Fullbody], this Character cannot be K.O.'d in battle.",C,"-PARAMOUNT WAR- [OP02]"
OP02-101,"Strawberry","[When Attacking] If there is a Character with a cost of 0, your opponent cannot activate the [Blocker] of any Character with a cost of 5 or less during this battle.",C,"-PARAMOUNT WAR- [OP02]"
OP02-102,"Smoker","This Character cannot be K.O.'d by effects.<br>[When Attacking] If there is a Character with a cost of 0, this Character gains +2000 power during this battle.",R,"-PARAMOUNT WAR- [OP02]"
OP02-103,"Sengoku","[DON!! x1] [When Attacking] Give up to 1 of your opponent's Characters −2 cost during this turn.",R,"-PARAMOUNT WAR- [OP02]"
OP02-104,"Sentomaru","-",C,"-PARAMOUNT WAR- [OP02]"
OP02-105,"Tashigi","[DON!! x1] [When Attacking] Give up to 1 of your opponent's Characters −3 cost during this turn.",C,"-PARAMOUNT WAR- [OP02]"
OP02-105_p1,"Tashigi","[DON!! x1] [When Attacking] Give up to 1 of your opponent's Characters −3 cost during this turn.",C,"-PARAMOUNT WAR- [OP02]"
OP02-106,"Tsuru","[On Play] Give up to 1 of your opponent's Characters −2 cost during this turn.",UC,"-PARAMOUNT WAR- [OP02]"
OP02-106_p1,"Tsuru","[On Play] Give up to 1 of your opponent's Characters −2 cost during this turn.",UC,"Included in Event Pack Vol.2"
OP02-106_p2,"Tsuru","[On Play] Give up to 1 of your opponent's Characters −2 cost during this turn.",UC,"-Black Smoker- [ST-19]"
OP02-106_p3,"Tsuru","[On Play] Give up to 1 of your opponent's Characters −2 cost
                    during this turn.",UC,"-ONE PIECE CARD THE BEST- [PRB-01]"
OP02-106_p4,"Tsuru","[On Play] Give up to 1 of your opponent's Characters −2 cost
                    during this turn.",UC,"-ONE PIECE CARD THE BEST- [PRB-01]"
OP02-106_p5,"Tsuru","[On Play] Give up to 1 of your opponent's Characters −2 cost
                    during this turn.",UC,"-ONE PIECE CARD THE BEST- [PRB-01]"
OP02-107,"Doberman","-",C,"-PARAMOUNT WAR- [OP02]"
OP02-108,"Donquixote Rosinante","[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",C,"-PARAMOUNT WAR- [OP02]"
OP02-108_p1,"Donquixote Rosinante","[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",C,"-PARAMOUNT WAR- [OP02]"
OP02-108_p2,"Donquixote Rosinante","[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",C,"-Black Smoker- [ST-19]"
OP02-109,"Jaguar.D.Saul","-",C,"-PARAMOUNT WAR- [OP02]"
OP02-109_p1,"Jaguar.D.Saul","-",C,"-Black Smoker- [ST-19]"
OP02-110,"Hina","[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)<br>[On Block] Select up to 1 of your opponent's Characters with a cost of 6 or less. The selected Character cannot attack during this turn.",R,"-PARAMOUNT WAR- [OP02]"
OP02-111,"Fullbody","[When Attacking] If you have [Jango], this card gains +3000 power during this battle.",C,"-PARAMOUNT WAR- [OP02]"
OP02-112,"Bell-mère","[Activate: Main] You may rest this Character: Give up to 1 of your opponent's Characters −1 cost during this turn. Then, up to 1 of your Leader or Character cards gains +1000 power during this turn.",UC,"-PARAMOUNT WAR- [OP02]"
OP02-113,"Helmeppo","[When Attacking] Give up to 1 of your opponent's Characters −2 cost during this turn. Then, if there is a Character with a cost of 0, this Character gains +2000 power during this battle.",UC,"-PARAMOUNT WAR- [OP02]"
OP02-113_p1,"Helmeppo","[When Attacking] Give up to 1 of your opponent's Characters −2 cost during this turn. Then, if there is a Character with a cost of 0, this Character gains +2000 power during this battle.",UC,"-Black Smoker- [ST-19]"
OP02-114,"Borsalino","[Opponent's Turn] This Character gains +1000 power and cannot be K.O.'d by effects.<br>[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",SR,"-PARAMOUNT WAR- [OP02]"
OP02-114_p1,"Borsalino","[Opponent's Turn] This Character gains +1000 power and cannot be K.O.'d by effects.<br>[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",SR,"-PARAMOUNT WAR- [OP02]"
OP02-114_p2,"Borsalino","[Opponent's Turn] This Character gains +1000 power and
                    cannot be K.O.'d by effects.<br>[Blocker] (After your
                    opponent declares an attack, you may rest this card to make
                    it the new target of the attack.)",SR,"-ONE PIECE CARD THE BEST- [PRB-01]"
OP02-114_p3,"Borsalino","[Opponent's Turn] This Character gains +1000 power and
                    cannot be K.O.'d by effects.<br>[Blocker] (After your
                    opponent declares an attack, you may rest this card to make
                    it the new target of the attack.)",SR,"-ONE PIECE CARD THE BEST- [PRB-01]"
OP02-115,"Monkey.D.Garp","[DON!! x2] [When Attacking] K.O. up to 1 of your opponent's Characters with a cost of 0.",R,"-PARAMOUNT WAR- [OP02]"
OP02-115_p1,"Monkey.D.Garp","[DON!! x2] [When Attacking] K.O. up to 1 of your opponent's Characters with a cost of 0.",R,"-PARAMOUNT WAR- [OP02]"
OP02-116,"Yamakaji","-",C,"-PARAMOUNT WAR- [OP02]"
OP02-116_p1,"Yamakaji","-",C,"-Black Smoker- [ST-19]"
OP02-117,"Ice Age","[Main] Give up to 1 of your opponent's Characters −5 cost during this turn.",UC,"-PARAMOUNT WAR- [OP02]"
OP02-117_p3,"Ice Age","[Main] Give up to 1 of your opponent's Characters −5 cost during this turn.",UC,"-Black Smoker- [ST-19]"
OP02-117_p4,"Ice Age","[Main] Give up to 1 of your opponent's Characters −5 cost
                    during this turn.",UC,"-ONE PIECE CARD THE BEST- [PRB-01]"
OP02-117_p5,"Ice Age","[Main] Give up to 1 of your opponent's Characters −5 cost
                    during this turn.",UC,"-ONE PIECE CARD THE BEST- [PRB-01]"
OP02-117_p6,"Ice Age","[Main] Give up to 1 of your opponent's Characters −5 cost
                    during this turn.",UC,"-ONE PIECE CARD THE BEST- [PRB-01]"
OP02-118,"Yasakani Sacred Jewel","[Counter] You may trash 1 card from your hand: Select up to 1 of your Characters. The selected Character cannot be K.O.'d during this battle.",C,"-PARAMOUNT WAR- [OP02]"
OP02-119,"Meteor Volcano","[Main] K.O. up to 1 of your opponent's Characters with a cost of 1 or less.",R,"-PARAMOUNT WAR- [OP02]"
OP02-120,"Uta","[On Play] DON!! −2 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Your Leader and all of your Characters gain +1000 power until the start of your next turn.",SEC,"-PARAMOUNT WAR- [OP02]"
OP02-120_p1,"Uta","[On Play] DON!! −2 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Your Leader and all of your Characters gain +1000 power until the start of your next turn.",SEC,"-PARAMOUNT WAR- [OP02]"
OP02-120_p2,"Uta","[On Play] DON!! −2 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Your Leader and all of your Characters gain +1000 power until the start of your next turn.",SP CARD,"OP-05"
OP02-121,"Kuzan","[Your Turn] Give all of your opponent's Characters −5 cost.<br>[On Play] K.O. up to 1 of your opponent's Characters with a cost of 0.",SEC,"-PARAMOUNT WAR- [OP02]"
OP02-121_p1,"Kuzan","[Your Turn] Give all of your opponent's Characters −5 cost.<br>[On Play] K.O. up to 1 of your opponent's Characters with a cost of 0.",SEC,"-PARAMOUNT WAR- [OP02]"
OP02-121_p2,"Kuzan","[Your Turn] Give all of your opponent's Characters −5
                    cost.<br>[On Play] K.O. up to 1 of your opponent's
                    Characters with a cost of 0.",SEC,"-ONE PIECE CARD THE BEST- [PRB-01]"
OP02-121_p3,"Kuzan","[Your Turn] Give all of your opponent's Characters −5
                    cost.<br>[On Play] K.O. up to 1 of your opponent's
                    Characters with a cost of 0.",SEC,"-ONE PIECE CARD THE BEST- [PRB-01]"
OP03-001,"Portgas.D.Ace","When this Leader attacks or is attacked, you may trash any number of Event or Stage cards from your hand. This Leader gains +1000 power during this battle for every card trashed.",L,"-PILLARS OF STRENGTH- [OP03]"
OP03-001_p1,"Portgas.D.Ace","When this Leader attacks or is attacked, you may trash any number of Event or Stage cards from your hand. This Leader gains +1000 power during this battle for every card trashed.",L,"-PILLARS OF STRENGTH- [OP03]"
OP03-001_p2,"Portgas.D.Ace","When this Leader attacks or is attacked, you may trash any number of Event or Stage cards from your hand. This Leader gains +1000 power during this battle for every card trashed.",L,"Special Goods Set -Ace/Sabo/Luffy-"
OP03-002,"Adio","[DON!! x1] [When Attacking] Your opponent cannot activate a [Blocker] Character that has 2000 or less power during this battle.",UC,"-PILLARS OF STRENGTH- [OP03]"
OP03-003,"Izo","[On Play] Look at 5 cards from the top of your deck; reveal up to 1 card with a type including ""Whitebeard Pirates"" other than [Izo] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",R,"-PILLARS OF STRENGTH- [OP03]"
OP03-003_p1,"Izo","[On Play] Look at 5 cards from the top of your deck; revealup to 1 card with a type including ""Whitebeard Pirates""other than [Izo] and add it to your hand. Then, place therest at the bottom of your deck in any order.",SP CARD,"-500 YEARS IN THE FUTURE- [OP-07]"
OP03-003_p2,"Izo","[On Play] Look at 5 cards from the top of your deck; reveal
                    up to 1 card with a type including ""Whitebeard Pirates""
                    other than [Izo] and add it to your hand. Then, place the
                    rest at the bottom of your deck in any order.",R,"-Red Edward.Newgate- [ST-15]"
OP03-003_p3,"Izo","[On Play] Look at 5 cards from the top of your deck; reveal
                    up to 1 card with a type including ""Whitebeard Pirates""
                    other than [Izo] and add it to your hand. Then, place the
                    rest at the bottom of your deck in any order.",R,"-ONE PIECE CARD THE BEST- [PRB-01]"
OP03-003_p4,"Izo","[On Play] Look at 5 cards from the top of your deck; reveal
                    up to 1 card with a type including ""Whitebeard Pirates""
                    other than [Izo] and add it to your hand. Then, place the
                    rest at the bottom of your deck in any order.",R,"-ONE PIECE CARD THE BEST- [PRB-01]"
OP03-003_p5,"Izo","[On Play] Look at 5 cards from the top of your deck; reveal
                    up to 1 card with a type including ""Whitebeard Pirates""
                    other than [Izo] and add it to your hand. Then, place the
                    rest at the bottom of your deck in any order.",R,"-ONE PIECE CARD THE BEST- [PRB-01]"
